band,channel,statistic,p_value,p_value_corrected,significant
beta,3L,136.0,0.704756498336792,0.9931446715613096,False
beta,4L,112.0,0.28966712951660156,0.9931446715613096,False
beta,5L,118.0,0.37475037574768066,0.9931446715613096,False
beta,6L,82.0,0.05264079570770264,0.9931446715613096,False
beta,7L,95.0,0.12084019184112549,0.9931446715613096,False
beta,8L,132.0,0.6230943202972412,0.9931446715613096,False
beta,9L,150.0,1.0,1.0,False
beta,10L,141.0,0.8115357160568237,0.9931446715613096,False
beta,1R,139.0,0.7682963609695435,0.9931446715613096,False
beta,2R,135.0,0.6839864253997803,0.9931446715613096,False
beta,3R,121.0,0.4223414659500122,0.9931446715613096,False
beta,4R,132.0,0.6230943202972412,0.9931446715613096,False
beta,5R,98.0,0.14335036277770996,0.9931446715613096,False
beta,6R,126.0,0.5087660551071167,0.9931446715613096,False
beta,7R,146.0,0.9218088388442993,0.9931446715613096,False
beta,8R,148.0,0.9664472341537476,0.9931446715613096,False
beta,9R,141.0,0.8115357160568237,0.9931446715613096,False
beta,10R,126.0,0.5087660551071167,0.9931446715613096,False
beta,1LA,124.0,0.47316575050354004,0.9931446715613096,False
beta,2LA,132.0,0.6230943202972412,0.9931446715613096,False
beta,3LA,113.0,0.30289924144744873,0.9931446715613096,False
beta,1LB,134.0,0.6634435653686523,0.9931446715613096,False
beta,2LB,140.0,0.7898378372192383,0.9931446715613096,False
beta,3LB,142.0,0.8333734273910522,0.9931446715613096,False
beta,4LB,137.0,0.7257407903671265,0.9931446715613096,False
beta,5LB,122.0,0.4389305114746094,0.9931446715613096,False
beta,1LC,136.0,0.704756498336792,0.9931446715613096,False
beta,2LC,128.0,0.5456695556640625,0.9931446715613096,False
beta,3LC,107.0,0.22918963432312012,0.9931446715613096,False
beta,4LC,144.0,0.8774070739746094,0.9931446715613096,False
beta,5LC,135.0,0.6839864253997803,0.9931446715613096,False
beta,1LD,99.0,0.15150094032287598,0.9931446715613096,False
beta,2LD,135.0,0.6839864253997803,0.9931446715613096,False
beta,3LD,113.0,0.30289924144744873,0.9931446715613096,False
beta,4LD,150.0,1.0,1.0,False
beta,1RA,131.0,0.6033114194869995,0.9931446715613096,False
beta,2RA,139.0,0.7682963609695435,0.9931446715613096,False
beta,3RA,135.0,0.6839864253997803,0.9931446715613096,False
beta,1RB,135.0,0.6839864253997803,0.9931446715613096,False
beta,2RB,134.0,0.6634435653686523,0.9931446715613096,False
beta,3RB,148.0,0.9664472341537476,0.9931446715613096,False
beta,4RB,118.0,0.37475037574768066,0.9931446715613096,False
beta,5RB,149.0,0.9888126850128174,0.999560648980348,False
beta,1RC,127.0,0.5270590782165527,0.9931446715613096,False
beta,2RC,135.0,0.6839864253997803,0.9931446715613096,False
beta,3RC,130.0,0.5838061571121216,0.9931446715613096,False
beta,4RC,121.0,0.4223414659500122,0.9931446715613096,False
beta,5RC,146.0,0.9218088388442993,0.9931446715613096,False
beta,1RD,128.0,0.5456695556640625,0.9931446715613096,False
beta,2RD,135.0,0.6839864253997803,0.9931446715613096,False
beta,3RD,104.0,0.19737839698791504,0.9931446715613096,False
beta,4RD,128.0,0.5456695556640625,0.9931446715613096,False
