participant,band,channel,statistic,p_value,p_value_corrected,significant
10,alpha,4LD,13028.0,0.3630359340387552,0.5115506343273368,False
10,alpha,1RA,13353.0,0.5484747685754514,0.6182806482123271,False
10,alpha,2RA,13543.0,0.6751572314983956,0.7217197991879402,False
10,alpha,3RA,7855.0,5.326089345812017e-09,1.6510876972017254e-07,True
10,alpha,1RB,9248.0,6.4864709699587055e-06,5.027015001717997e-05,True
10,alpha,2RB,13332.0,0.5352256654296339,0.6145183566043945,False
10,alpha,3RB,12460.0,0.14689396834922752,0.26021217250434586,False
10,alpha,4RB,12500.0,0.15780511564031985,0.2717754769361064,False
10,alpha,5RB,10261.0,0.00039255223398259866,0.0017384456076372226,True
10,alpha,1RC,13878.0,0.9203380778840704,0.9203380778840704,False
10,alpha,2RC,13302.0,0.5165824297799755,0.6145183566043945,False
10,alpha,3RC,5924.0,1.6433546660439122e-14,1.0188798929472256e-12,True
10,alpha,4RC,10856.0,0.0028982413678072206,0.007812650643654247,True
10,alpha,5RC,13149.0,0.42699273956661177,0.5374693155115821,False
10,alpha,1RD,13135.0,0.41927332132203654,0.5374693155115821,False
10,alpha,2RD,10312.0,0.00047146526760629944,0.0019487231061060377,True
10,alpha,3RD,13512.0,0.6537153791398168,0.711058833450327,False
10,alpha,4RD,13087.0,0.3934372522900703,0.5374693155115821,False
10,beta,1Z,12663.0,0.20866609619958865,0.3080309039136785,False
10,beta,2Z,13342.0,0.5415145968641886,0.5788604311306844,False
10,beta,3Z,12731.0,0.23307513166973737,0.32842404917099355,False
10,beta,4Z,9504.0,1.9896423260593804e-05,0.00010279818684640132,True
10,beta,6Z,13112.0,0.4067711482975407,0.4945061018519122,False
10,beta,7Z,12786.0,0.25424892792448917,0.342683337637355,False
10,beta,8Z,9956.0,0.00012528876045364557,0.00048549394675787656,True
10,beta,9Z,11142.0,0.006811397429134483,0.01759611002526408,True
10,beta,1L,8437.0,1.2755785009333823e-07,1.5817173411573941e-06,True
10,beta,2L,12063.0,0.06744226526801556,0.12298295431226366,False
10,beta,3L,12653.0,0.20523884899198286,0.3080309039136785,False
10,beta,4L,13302.0,0.5165824297799755,0.5767131747134222,False
10,beta,5L,11527.0,0.019323445923646876,0.04131219473331401,True
10,beta,6L,13309.0,0.5209022223218007,0.5767131747134222,False
10,beta,7L,10611.0,0.0013196068044163596,0.004306085361779699,True
10,beta,8L,9393.0,1.2324186329062542e-05,6.946359567289797e-05,True
10,beta,9L,8776.0,7.069745466712482e-07,7.3054036489362315e-06,True
10,beta,10L,9584.0,2.791346116396032e-05,0.00013312573785888767,True
10,beta,1R,12165.0,0.08335107365185782,0.14354907128931066,False
10,beta,2R,13390.0,0.5722054886779963,0.6013006830175553,False
