band,channel,statistic,p_value,p_value_corrected,significant
beta,1LB,132.0,0.6230943202972412,0.9876878327065771,False
beta,2LB,135.0,0.6839864253997803,0.9876878327065771,False
beta,3LB,148.0,0.9664472341537476,0.9876878327065771,False
beta,4LB,140.0,0.7898378372192383,0.9876878327065771,False
beta,5LB,126.0,0.5087660551071167,0.9876878327065771,False
beta,1LC,142.0,0.8333734273910522,0.9876878327065771,False
beta,2LC,136.0,0.704756498336792,0.9876878327065771,False
beta,3LC,116.0,0.344876766204834,0.9876878327065771,False
beta,4LC,141.0,0.8115357160568237,0.9876878327065771,False
beta,5LC,142.0,0.8333734273910522,0.9876878327065771,False
beta,1LD,105.0,0.20761656761169434,0.9876878327065771,False
beta,2LD,145.0,0.899570107460022,0.9876878327065771,False
beta,3LD,112.0,0.28966712951660156,0.9876878327065771,False
beta,4LD,144.0,0.8774070739746094,0.9876878327065771,False
beta,1RA,133.0,0.6431422233581543,0.9876878327065771,False
beta,2RA,141.0,0.8115357160568237,0.9876878327065771,False
beta,3RA,132.0,0.6230943202972412,0.9876878327065771,False
beta,1RB,132.0,0.6230943202972412,0.9876878327065771,False
beta,2RB,127.0,0.5270590782165527,0.9876878327065771,False
beta,3RB,147.0,0.944107174873352,0.9876878327065771,False
beta,4RB,115.0,0.3305051326751709,0.9876878327065771,False
beta,5RB,145.0,0.899570107460022,0.9876878327065771,False
beta,1RC,124.0,0.47316575050354004,0.9876878327065771,False
beta,2RC,129.0,0.5645889043807983,0.9876878327065771,False
beta,3RC,122.0,0.4389305114746094,0.9876878327065771,False
beta,4RC,120.0,0.40611207485198975,0.9876878327065771,False
beta,5RC,149.0,0.9888126850128174,0.999560648980348,False
beta,1RD,115.0,0.3305051326751709,0.9876878327065771,False
beta,2RD,125.0,0.49079859256744385,0.9876878327065771,False
beta,3RD,106.0,0.21821892261505127,0.9876878327065771,False
beta,4RD,129.0,0.5645889043807983,0.9876878327065771,False
